id	target	level	ext	regex	hint
v11-vendor-extension-name	11	breaking	php	^[[:space:]]*'[A-Z][A-Za-z0-9]*\.[A-Z][A-Za-z0-9.]*'[[:space:]]*,	configurePlugin/registerModule: drop vendor prefix from extension name, key controllers by FQCN
v11-extbase-response-api	11	breaking	php	\$this->response->(setHeader|appendContent|setContent|setStatus|getContent|addAdditionalHeaderData)	Extbase handles PSR-7 only: return $this->htmlResponse()->withHeader()/withStatus()
v11-fluid-widgets	11	removed	php,html	f:widget\.|AbstractWidgetController|AbstractWidgetViewHelper	Fluid widgets removed: use Pagination API (QueryResultPaginator + SimplePagination)
v11-cachehash-args	11	removed	php,html,typoscript	useCacheHash|noCacheHash|setUseCacheHash	Remove useCacheHash/noCacheHash; cHash is added automatically
v11-template-cobject	11	removed	typoscript	=[[:space:]]*TEMPLATE[[:space:]]*$	TEMPLATE cObject removed: use FLUIDTEMPLATE
v11-resourcefactory-getinstance	11	removed	php	ResourceFactory::getInstance\(	Inject ResourceFactory or GeneralUtility::makeInstance(ResourceFactory::class)
v11-workspace-placeholder-columns	11	removed	php	shadowColumnsForNewPlaceholders|shadowColumnsForMovePlaceholders	Delete ctrl.shadowColumnsFor*Placeholders (placeholders removed)
v11-session-id	11	breaking	php	fe_user->id([^a-zA-Z_]|$)|BE_USER'\]->id([^a-zA-Z_]|$)|->(getSessionId|createSessionId)\(	Use $user->getSession()->getIdentifier()
v11-httputility-redirect	11	deprecated	php	HttpUtility::(redirect|setResponseCode|setResponseCodeAndExit)\(	Return a PSR-7 RedirectResponse or throw PropagateResponseException
v11-public-cobj	11	deprecated	php	public \$cObj	Make $cObj protected and add setContentObjectRenderer()
v11-tca-special-languages	11	deprecated	php	'special'[[:space:]]*=>[[:space:]]*'languages'|'foreign_table'[[:space:]]*=>[[:space:]]*'sys_language'	Use TCA 'type' => 'language'
v11-tca-filefolder	11	deprecated	php	'fileFolder(_extList|_recursions)?'[[:space:]]*=>	Use 'fileFolderConfig' => ['folder', 'allowedExtensions', 'depth']
v11-tca-rootuid	11	deprecated	php	'rootUid'[[:space:]]*=>	treeConfig: use 'startingPoints'
v11-languageservice-container	11	deprecated	php	(makeInstance|get)\(LanguageService::class	Use LanguageServiceFactory::createFrom*()
v11-commands-php	11	removed	php	'class'[[:space:]]*=>[[:space:]]*[A-Za-z0-9_\\]*Command::class	Configuration/Commands.php removed: tag commands with console.command in Services.yaml
v12-typo3-mode-constants	12	removed	php	TYPO3_MODE|TYPO3_REQUESTTYPE	defined('TYPO3') or die(); use ApplicationType::fromRequest()
v12-typo3-version-constants	12	removed	php	TYPO3_version|TYPO3_branch	Use TYPO3\CMS\Core\Information\Typo3Version
v12-environmentservice	12	removed	php	EnvironmentService|isEnvironmentInFrontendMode|isEnvironmentInBackendMode	Use ApplicationType::fromRequest($request)
v12-objectmanager	12	removed	php	ObjectManager(Interface)?::class|->objectManager->get\(|Extbase\\Object\\ObjectManager	ObjectManager removed: constructor DI via Services.yaml or GeneralUtility::makeInstance
v12-inject-annotation	12	removed	php	@(TYPO3\\CMS\\Extbase\\Annotation\\Inject|Extbase\\Inject|inject)([[:space:]]|$)	@inject removed: use constructor or inject*() method injection
